Incident Type,Count,Percentage
Equipment Failure - Type 2 - Sub-type 1,4,0.0
D Flooding External - Outside Boundary - sunken,4,0.0
INSUFFICIENT MAINTENANCE,4,0.0
D Flooding External - Outside Boundary - defective benching,4,0.0
D Flooding External - Outside Boundary - screen blinded,3,0.0
B Flooding Internal - PLC failure,3,0.0
C Flooding External - Inside Boundary - Inlet blocked,3,0.0
Non Household Flooding Ext. - Inside Boundary - other,3,0.0
NHH Flooding Ext. - Inside Boundary - burst,3,0.0
Pumping Station Failure - Type 2 - Sub-type 1,3,0.0
NHH Flooding Internal - pump failure,3,0.0
C Flooding External - Inside Boundary - defective channel,3,0.0
C Flooding External - Inside Boundary - defective coverslab,3,0.0
CUSTOMER RESPONSIBLE,3,0.0
SWS DAMAGE,3,0.0
C Flooding External - Inside Boundary - nrv failure,3,0.0
NHH Flooding Ext. - Inside Boundary - Jetting,3,0.0
Non Household Flooding Internal - inadequate hydraulic capacity,3,0.0
D Flooding External - Outside Boundary - structural failure,3,0.0
Collapse due to 3rd party - Type 3 - Sub-type 9,2,0.0
Blockage due to 3rd party - Type 1 - Sub-type 1,2,0.0
Equipment failure due to 3rd Party - Type 3 - Sub-type 10,2,0.0
D Flooding External - Outside Boundary - Seized,2,0.0
Pumping Station Failure - Type 3 - Sub-type 5,2,0.0
D Flooding External - Outside Boundary - defective channel,2,0.0
Collapse - Type 3 - Sub-type 5,2,0.0
B Flooding Internal - flap missing,2,0.0
Collapse due to 3rd party - Type 3 - Sub-type 8,2,0.0
Potential Collapse - Sewer DON'T USE FOR GSS CAUSE,2,0.0
NHH Flooding Ext. - Outside Boundary - screen blinded,2,0.0
NHH Flooding Internal - Seized,2,0.0
Survey required,2,0.0
Infiltration,2,0.0
Highway Runoff,2,0.0
Pump Station Blockage,2,0.0
Non Household Flooding Ext. - Inside Boundary - Inadequate Capacity,2,0.0
Non Household Flooding Ext. - Inside Boundary - Other,2,0.0
D Flooding External - Outside Boundary - missing,2,0.0
NHH Flooding Ext. - Inside Boundary - filtration sack failure,2,0.0
NHH Flooding Ext. - Inside Boundary - inlet pumping station,2,0.0
NHH Flooding Ext. - Inside Boundary - damaged,2,0.0
B Flooding Internal - seal missing/perished,2,0.0
NHH Flooding Ext. - Outside Boundary - air valve fault,2,0.0
NHH Flooding Ext. - Outside Boundary - defective brickwork,2,0.0
Water Course,2,0.0
C Flooding External - Inside Boundary - screen failed,2,0.0
D Flooding External - Outside Boundary - PLC failure,2,0.0
NHH Flooding Ext. - Outside Boundary - damaged,1,0.0
Blockage due to 3rd party - Type 3 - Sub-type 9,1,0.0
D Flooding External - Outside Boundary - siltation,1,0.0
D Flooding External - Outside Boundary - mechanical failure,1,0.0
D Flooding External - Outside Boundary - defective coverslab,1,0.0
D Flooding External - Outside Boundary - filtration sack failure,1,0.0
Non Household Flooding Ext. - Inside Boundary - damaged,1,0.0
D Flooding External - Outside Boundary - H2S concrete decay,1,0.0
C Flooding External - Inside Boundary - PLC failure,1,0.0
Non Household Flooding Ext. - Inside Boundary - burst,1,0.0
Non Household Flooding Ext. - Inside Boundary - Jetting,1,0.0
Non Household Flooding Ext. - Inside Boundary - inlet pumping station,1,0.0
Non Household Flooding Internal - other,1,0.0
Non Household Flooding Ext. - Inside Boundary - filtration sack failure,1,0.0
NHH Flooding Internal - level control failure,1,0.0
Equipment Failure - Type 1 - Sub-type 2,1,0.0
NHH Flooding Ext. - Inside Boundary - level control failure,1,0.0
Collapse due to 3rd party - Type 2 - Sub-type 3,1,0.0
Collapse due to 3rd party - Type 3 - Sub-type 6,1,0.0
Equipment failure due to 3rd Party - Type 3 - Sub-type 9,1,0.0
Equipment failure due to 3rd Party - Type 1 - Sub-type 2,1,0.0
Equipment Failure - Type 2 - Sub-type 3,1,0.0
NHH Flooding Ext. - Outside Boundary - level control failure,1,0.0
Blockage due to 3rd party - Type 2 - Sub-type 3,1,0.0
NHH Flooding Ext. - Outside Boundary - defective benching,1,0.0
Blockage due to 3rd party - Type 3 - Sub-type 6,1,0.0
Equipment failure due to 3rd Party - Type 3 - Sub-type 8,1,0.0
Pumping Station Failure due to 3rd party - Type 3 - Sub-type 10,1,0.0
NHH Flooding Ext. - Inside Boundary - air valve fault,1,0.0
B Flooding Internal - level control failure,1,0.0
C Flooding External - Inside Boundary - missing,1,0.0
