Reports - Non Property Floodings - 01/01/2023 - 31/12/2023 - All,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
37230,,5267434,1937569,X MILLSON CLOSE LONDON N20 0XX,2023-01-05 00:00:00,2023-01-05 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37229,,5267139,1937778,X ATTFIELD CLOSE LONDON N20 0XX,2023-01-05 00:00:00,2023-01-05 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37240,,512058,171530,SWAN ROAD FELTHAM TW136LX,2023-01-09 00:00:00,2023-01-05 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,COUNCIL/HOUSING
37239,,4032860,1993288,X NURSERY VIEW CIRENCESTER GL7 6XX,2023-01-09 00:00:00,2023-01-05 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37233,,4034293,2000595,XXXXXXX COTTAGE CIRENCESTER GL7 6XX,2023-01-06 00:00:00,2023-01-05 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37227,,5307700,1609206,XXX BRIGHTON ROAD PURLEY CR8 4XX,2023-01-05 00:00:00,2022-12-20 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37234,,5259835,1939817,XX TOTTERIDGE LANE LONDON N20 8XX,2023-01-06 00:00:00,2023-01-06 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37232,,5403272,1831947,XX KENNEDY CLOSE LONDON E13 0XX,2023-01-06 00:00:00,2023-01-05 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37241,,5146000,1923638,XXXXX COTTAGE BROOKSHILL DRIVE HARROW HA3 6XX,2023-01-09 00:00:00,2023-01-06 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
30267,Chiltern,4989502,1943588,XXXXX XXXX COTTAGE AMERSHAM RD CHALFONT ST. HP8 4XX,2023-01-09 00:00:00,2023-01-06 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,50,TRANSFERRED ASSET (2011)
37235,,5132033,2017707,XXX MOUNT PLEASANT LANE ST. ALBANS AL2 3XX,2023-01-06 00:00:00,2023-01-06 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37242,,5150658,1819638,XX ELMBANK WAY LONDON W7 3XX,2023-01-09 00:00:00,2023-01-06 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (EX S24)
37231,,5436178,1781884,XX BROOKHILL ROAD LONDON SE186XX,2023-01-06 00:00:00,2023-01-05 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37245,,5425223,1812245,X CHELMSFORD CLOSE LONDON E6 5XX,2023-01-09 00:00:00,2023-01-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37238,,4118062,1848562,XX LONGSTOCK COURT SWINDON SN5 7XX,2023-01-07 00:00:00,2023-01-07 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37237,,5492000,2096000,XX OLD LONDON ROAD HARLOW CM179XX,2023-01-07 00:00:00,2023-01-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37236,,5319376,2130719,XX NELSON STREET HERTFORD SG143XX,2023-01-07 00:00:00,2023-01-06 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37244,,5470652,2096514,XX VICTORIA GATE HARLOW CM179XX,2023-01-09 00:00:00,2023-01-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37246,,518260,187294,XXX PRESTON ROAD HARROW HA3 0XX,2023-01-09 00:00:00,2023-01-07 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
34605,Windsor & Maidenhead,4934992,1752562,X IVY COTTAGES ST LEONARDS HILL WINDSOR BERK SL4 4XX,2023-01-09 00:00:00,2023-01-06 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,100,TWUL (LOCAL)
37243,,4589758,1715205,XXXXXX XXXX COTTAGE ROTTEN ROW READING RG7 6XX,2023-01-09 00:00:00,2023-01-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37247,,4598577,1615032,BARLOWS ROAD TADLEY RG263NA,2023-01-09 00:00:00,2023-01-08 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,CE,20,0,TWUL (LOCAL)
37228,,5469081,2115130,XX PARK HILL HARLOW CM170XX,2023-01-08 00:00:00,2023-01-08 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37248,,5402402,1837406,NICHOLLS POINT PARK GROVE LONDON NICHOLLS POINT E15 3QU,2023-01-09 00:00:00,2023-01-08 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37249,,4029673,2017915,BEECHES ROAD CIRENCESTER GL7 1BW,2023-01-10 00:00:00,2023-01-09 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Private Land,< 1 Month,CE,10,0,TWUL (LOCAL)
37250,,544734,185448,X BLACKTHORN ROAD ILFORD IG1 2XX,2023-01-10 00:00:00,2023-01-09 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
36526,,539021,183017,RIVERINE CENTRE CANNING ROAD LONDON RIVERINE CENTRE E15 3ND,2023-01-10 00:00:00,2023-01-09 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,50,TWUL (LOCAL)
31926,Cotswold,4176721,2255929,XXXX COTTAGE LOWER SWELL CHELTENHAM G GL54 1XX,2023-01-09 00:00:00,2023-01-08 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,100,200,TWUL (LOCAL)
37251,,5473573,2047515,XX WEALD HALL LANE EPPING CM166XX,2023-01-10 00:00:00,2023-01-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37253,,4695767,2047053,THAME OX9 2HU,2023-01-11 00:00:00,2023-01-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37252,,4874852,1819388,XXX COURTHOUSE ROAD MAIDENHEAD SL6 6XX,2023-01-10 00:00:00,2023-01-10 00:00:00,Combined C,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37172,,4874790,1819151,XXX COURTHOUSE ROAD MAIDENHEAD SL6 6XX,2023-01-10 00:00:00,2023-01-10 00:00:00,Combined C,Blockage,Above ground,Highways,< 1 Month,CE,10,10,TWUL (EX S24)
37254,,5479172,1709258,XX PALM AVENUE SIDCUP DA145XX,2023-01-11 00:00:00,2023-01-11 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,PRIVATE
37259,,5139912,1852161,XX FLORISTON COURT WHITTON AVENUE WEST NORTHOLT UB5 4XX,2023-01-12 00:00:00,2023-01-11 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
34356,Cotswold,4032102,2011299,THE COLT CAR CO LTD WATERMOOR RD CIRENCESTER GL7 1LF,2023-01-12 00:00:00,2023-01-11 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Private Land,< 1 Month,AE,100,0,PRIVATE
11188,West Oxfordshire,4386155,2133185,HEREFORD HOUSE CHURCH RD NORTH LEIGH OX29 6TX,2023-01-12 00:00:00,2023-01-11 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37258,,527313,167270,XXXXXXXX COTTAGE PETERBOROUGH ROAD CARSHALTON SM5 1XX,2023-01-12 00:00:00,2023-01-07 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TRANSFERRED ASSET (2011)
37265,,5254000,1835000,5 KILBURN DELIVERY OFFICE COVENTRY CLOSE LONDON NW6 4DA,2023-01-13 00:00:00,2023-01-12 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37266,,4472060,1614517,FERNDALE HOUSE HARTS LANE NEWBURY FERNDALE HOUSE RG209HF,2023-01-13 00:00:00,2023-01-12 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,200,0,TWUL (LOCAL)
37255,,4021729,2026490,XX ABBEY WAY CIRENCESTER GL7 2XX,2023-01-12 00:00:00,2023-01-12 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,CE,20,10,TWUL (LOCAL)
19454,West Oxfordshire,4431701,2094066,XX EVANS RD EYNSHAM OX29 4XX,2023-01-12 00:00:00,2023-01-12 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,100,TWUL (LOCAL)
36047,,4431734,2094188,XX EVANS RD EYNSHAM OX29 4XX,2023-01-12 00:00:00,2023-01-12 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,100,TWUL (LOCAL)
37256,,4853244,1696135,XX SIMMONDS CLOSE BRACKNELL RG421XX,2023-01-12 00:00:00,2023-01-12 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37260,,4032151,2008158,XX SIDDINGTON ROAD CIRENCESTER GL7 1XX,2023-01-12 00:00:00,2023-01-11 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37261,,5068989,2241778,XXX WESTMORLAND AVENUE LUTON LU3 2XX,2023-01-12 00:00:00,2023-01-12 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37262,,445864,196533,X POINTER PLACE MARCHAM OX136XX,2023-01-12 00:00:00,2023-01-12 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37267,,5241822,1755978,PUTNEY HIGH STREET LONDON SW151SN,2023-01-13 00:00:00,2023-01-12 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37268,,5552103,2274672,PLEDGDON HALL BISHOP'S STORTFORD PLEDGDON HALL CM226BJ,2023-01-13 00:00:00,2023-01-12 00:00:00,Foul F,Equipment,Above ground,Highways,< 1 Month,,0,10,
37263,,4525092,2072651,XXX EDGEWAY ROAD OXFORD OX3 0XX,2023-01-12 00:00:00,2023-01-12 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37269,,4767390,2110825,LAKESIDE BARN AYLESBURY LAKESIDE BARN HP178UG,2023-01-13 00:00:00,2023-01-12 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Private Land,< 1 Month,AE,95,0,TWUL (LOCAL)
4783,West Berks,4577214,1714968,XXXX COTTAGE UNKNOWN STANFORD DIN RG7 6XX,2023-01-13 00:00:00,2023-01-12 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,AE,500,10,TWUL (LOCAL)
37257,,427293,204435,X Gassons Mead Bampton OX18 2XX,2023-01-12 00:00:00,2023-01-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TRANSFERRED ASSET (2011)
37264,,4524743,2072666,XXX FERRY ROAD OXFORD OX3 0XX,2023-01-13 00:00:00,2023-01-12 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,BE,100,0,TWUL (LOCAL)
885,Oxford,4524425,2072425,O/S XXX FERRY ROAD OXFORD OX3 0XX,2023-01-13 00:00:00,2023-01-12 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,100,0,TWUL (LOCAL)
37270,,5315081,1907435,XX ACACIA ROAD LONDON N22 5XX,2023-01-13 00:00:00,2023-01-13 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37271,,5315081,1907435,XX ACACIA ROAD LONDON N22 5XX,2023-01-13 00:00:00,2023-01-13 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37281,,4508494,2244735,LOWER HEYFORD ROAD BICESTER OX25 4ND,2023-01-16 00:00:00,2023-01-13 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37282,,4538846,2032175,CARDINAL HOUSE CARDINAL CLOSE OXFORD CARDINAL HOUSE OX4 3UF,2023-01-16 00:00:00,2023-01-13 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37283,,412116,187148,X CASPIAN CLOSE SWINDON SN5 5XX,2023-01-16 00:00:00,2023-01-13 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Private Land,< 1 Month,CE,10,0,TWUL (LOCAL)
32189,Cherwell,4507905,2241348,XX SOUTH ST BICESTER OXF OX25 4XX,2023-01-13 00:00:00,2023-01-13 00:00:00,Combined C,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,50,TWUL (LOCAL)
37272,,4507510,2240146,X GREENWAY BICESTER OX254XX,2023-01-13 00:00:00,2023-01-13 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37273,,4125759,1836022,XX WARNEFORD CLOSE SWINDON SN5 8XX,2023-01-14 00:00:00,2023-01-13 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
23944,Reading,4654758,1763567,SUNNY BANK WESTBURY LA PURLEY RG8 8XX,2023-01-16 00:00:00,2023-01-11 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37266,,4472060,1614517,XXXXXXXX HOUSE HARTS LANE NEWBURY RG209XX,2023-01-16 00:00:00,2023-01-14 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,200,0,TWUL (LOCAL)
37276,,5107286,1739025,X THE DELL FELTHAM TW140XX,2023-01-14 00:00:00,2023-01-14 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37275,,4508123,2242143,X SOUTH STREET BICESTER OX254XX,2023-01-14 00:00:00,2023-01-13 00:00:00,Combined C,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37284,,4438677,1605515,XXXXXXXX HOUSE NEWBURY RG209XX,2023-01-16 00:00:00,2023-01-14 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37277,,4571463,1631892,XX READING RG7 4XX,2023-01-14 00:00:00,2023-01-14 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
37274,,5026332,1726934,X MOOR LANE STAINES TW196XX,2023-01-14 00:00:00,2023-01-14 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
22417,Basingstoke & Deane,4529167,1631238,XXXX XXXXX MILL GREEN HEADLEY RG19 8XX,2023-01-16 00:00:00,2023-01-14 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Private Land,< 1 Month,CE,10,10,TWUL (LOCAL)
37286,,405071,196914,NIGHTINGALE WAY SOUTH CERNEY GL7 5WA,2023-01-16 00:00:00,2023-01-15 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,0,TWUL (LOCAL)
24962,Dacorum,5068448,2042586,X-X RUCKLERS LA KINGS LANGLE WD4 8XX,2023-01-16 00:00:00,2023-01-15 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37278,,4034188,2005637,X CHERRY TREE DRIVE CIRENCESTER GL7 1XX,2023-01-15 00:00:00,2023-01-14 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,CE,20,0,TWUL (LOCAL)
37279,,4889101,1916360,X KINGS ROAD HIGH WYCOMBE HP111XX,2023-01-15 00:00:00,2023-01-15 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
2351,Oxford,4524978,2072103,O/S XXX FERRY RD MARSTON OX3 0XX,2023-01-15 00:00:00,2023-01-14 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,CE,20,0,TWUL (LOCAL)
885,Oxford,4524425,2072425,O/S XXX FERRY ROAD OXFORD OX3 0XX,2023-01-15 00:00:00,2023-01-14 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,AE,100,0,TWUL (LOCAL)
37280,,4258170,1906687,XX BARRINGTON AVENUE SWINDON SN6 8XX,2023-01-16 00:00:00,2023-01-15 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37285,,424523,189814,ELECTRICITY SUB STATION SHUTE AVENUE OXFORDSHIRE ELECTRICITY SUB STATION SN6 8EY,2023-01-16 00:00:00,2023-01-14 00:00:00,Foul F,Equipment,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37287,,4549182,2128195,OXFORD OX3 9XX,2023-01-16 00:00:00,2023-01-15 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,BE,100,0,TWUL (LOCAL)
37290,,4526811,1675727,XX POPPY DRIVE THATCHAM RG184XX,2023-01-16 00:00:00,2023-01-15 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Private Land,< 1 Month,CE,10,0,TWUL (LOCAL)
31942,Windsor & Maidenhead,4884823,1805629,MILLENNIUM HOUSE LUDLOW RD MAIDENHEAD SL6 2SL,2023-01-17 00:00:00,2023-01-16 00:00:00,Foul F,Collapse,Above ground,Highways,< 1 Month,,0,200,TWUL (LOCAL)
